University Name,Long,Lat
Harward University,42.3770° N,71.1167° W
Stanford University,37.4275° N,122.1697° W
University of Oxford,51.7548° N,1.2544° W
MIT,42.3601° N,71.0942° W
University of Cambridge,52.2043° N,0.1149° E
Columbia University,40.8075° N,73.9626° W
"University of California, USA",34.0689° N,118.4452° W
Princeton University,40.3431° N,74.6551° W
University of Chicago,41.7886° N,87.5987° W
Yale University,41.3163° N,72.9223° W
Cornell University,42.4534° N,76.4735° W
Imperial College London,51.4988° N,0.1749° W
